  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT     GCT   
  0.00  91.29  12.46   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  12.46   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  12.46   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  12.46   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
  0.00  91.29  14.37   0.01  97.99  90.46      1    0.008     0    0.000    0.008
 99.69   0.00  68.90   9.30  96.61  91.67      4    0.039     0    0.000    0.039
  0.00  99.80  30.23  31.78  96.66  91.67      7    0.111     0    0.000    0.111
  0.00  99.80  75.94  31.78  96.66  91.67      7    0.111     0    0.000    0.111
 99.94   0.00   5.92  56.93  97.52  91.35      8    0.165     0    0.000    0.165
 99.94   0.00  29.62  56.93  97.52  91.35      8    0.165     0    0.000    0.165
 99.94   0.00  53.31  56.93  97.52  91.35      8    0.165     0    0.000    0.165
 99.94   0.00  77.00  56.93  97.52  91.35      8    0.165     0    0.000    0.165
 99.94   0.00  98.72  56.93  97.52  91.35      8    0.165     0    0.000    0.165
  0.00  75.38  23.80  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  49.58  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  67.43  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  67.43  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  67.43  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  67.43  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  70.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  72.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  72.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  72.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  73.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  73.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  74.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  74.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  74.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  75.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  75.71  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  78.69  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  82.87  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  89.77  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  91.76  61.91  97.53  91.35      9    0.205     0    0.000    0.205
  0.00  75.38  99.60  61.91  97.53  91.35      9    0.205     0    0.000    0.205
 71.26   0.00   3.92  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00   5.85  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00   8.27  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  16.30  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  18.41  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  20.33  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  22.92  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  24.85  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  24.85  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  26.77  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  28.69  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  31.79  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  48.44  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  48.44  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  48.44  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  48.44  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  48.44  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  49.11  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  49.11  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  49.11  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  49.11  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  49.11  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  49.77  76.09  96.44  92.17     10    0.241     0    0.000    0.241
 71.26   0.00  49.77  76.09  96.44  92.17     10    0.241     0    0.000    0.241
  0.00   0.00  20.15  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  33.48  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  33.81  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  34.31  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  34.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  34.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  34.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  34.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.14  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.14  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.14  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.14  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.14  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  35.64  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  57.21  64.15  96.73  92.17     11    0.295     1    0.162    0.457
  0.00   0.00  58.21  64.15  96.73  92.17     11    0.295     1    0.162    0.457
